,User Management>Customers>Create Customer Profile,,,,:xpath,//input[@id='email2'],Email2
,User Management>Customers>Create Customer Profile,,,,:xpath,//input[@id='s_address'],Delivery Address
,User Management>Customers>Create Customer Profile,,,,:xpath,//input[@id='s_city'],Delivery City
,User Management>Customers>Create Customer Profile,,,,:xpath,//input[@id='s_zipcode'],Zipcode
,User Management>Customers>Create Customer Profile,,,,:xpath,//input[@id='btn-enter-cc-details'],CreditCardDetailModal
,User Management>Customers>Create Customer Profile,,,,:xpath,//input[@id='inputCCNumber'],Card Number on Modal
,User Management>Customers>Create Customer Profile,,,,:xpath,//input[@id='inputCCExp'],Expiration date on Modal
,User Management>Customers>Create Customer Profile,,,,:xpath,//input[@id='inputCVV2'],CVV2 on Modal
,User Management>Customers>Create Customer Profile,,,,:xpath,"//button[contains(text(),'Submit')]",Submit on Modal
,User Management>Customers>Create Customer Profile,,,,:xpath,//input[@id='card_number'],Card Number
,User Management>Customers>Create Customer Profile,,,,:xpath,//input[@id='card_name'],Name On Card
,User Management>Customers>Create Customer Profile,,,,:xpath,//input[@class='expiry form-control'],Card expire month
,User Management>Customers>Create Customer Profile,,,,:xpath,//input[@id='card_expire_year'],Card Expire year
,User Management>Customers>Create Customer Profile,,,,:xpath,//input[@id='card_cvv2'],Card CCV
,User Management>Customers>Create Customer Profile,,,,:xpath,//input[@id='passwd1'],Password
,User Management>Customers>Create Customer Profile,,,,:xpath,//input[@id='passwd2'],Confirm Password
,User Management>Customers>Create Customer Profile,,,,:xpath,"//label[contains(text(),'Phone Provider')]/../span/span/span/span[@class='select2-selection__arrow']",Phone Provider selector
,User Management>Customers>Create Customer Profile,,,,:xpath,//input[@class='select2-search__field'],Phone Provider
,User Management>Customers>Create Customer Profile,,,,:xpath,//input[@id=‘additional_values_1000000035’],Accept SMS
,User Management>Customers>Create Customer Profile,,,,:xpath,"//td[contains(text(),'Store')]/../",Store
,User Management>Customers>Create Customer Profile,,,,:xpath,//input[@name='is_billing_and_delivery_same']/..,Billing Address is the same checkbox
,User Management>Customers>Create Customer Profile,,,,:xpath,//input[@value=' Save '],Save
,User Management>Customers>Create Customer Profile,,,,:xpath,"//*[contains(text(),'Profile has been successfully created')]",Profile sucessfully created
,UserApp>Register,,,,:xpath,//input[@id='s_address'],Address
,UserApp>Register,,,,:xpath,//input[@id='s_city'],City
,UserApp>Register,,,,:xpath,//input[@id='s_zip'],Zip/Postal Code
,UserApp>Register,,,,:xpath,//input[@value='Continue'],Continue
,UserApp>Register,,,,:xpath,//div[@class='modal-footer']/button[@id='continue-button'],Continue from delivery confirmation
,UserApp>Register,,,,:xpath,//input[@name ='firstname'],FirstName
,UserApp>Register,,,,:xpath,//input[@name ='lastname'],LastName
,UserApp>Register,,,,:xpath,//input[@name ='email'],E-Mail Address
,UserApp>Register,,,,:xpath,//input[@id ='email2'],Confirm Email
,UserApp>Register,,,,:xpath,//input[@id ='phone'],Phone
,UserApp>Register,,,,:xpath,//input[@name ='passwd1'],Password
,UserApp>Register,,,,:xpath,//input[@id='btn-enter-cc-details'],Display Credit Card Entry modal
,UserApp>Register,,,,:xpath,//input[@id='card_number'],Card Number
,UserApp>Register,,,,:xpath,//input[@id='card_name'],Name On Card
,UserApp>Register,,,,:xpath,//input[@id='card_cvv2'],Card CCV
,UserApp>Register,,,,:xpath,//input[@name='billing-cc-number'],Card Number on Modal
,UserApp>Register,,,,:xpath,//input[@id='inputCCExp'],Card expire month on Modal
,UserApp>Register,,,,:xpath,//input[@id='inputCVV2'],Card CCV on Modal
,UserApp>Register,,,,:xpath,"//button[contains(text(),'Submit')]",Submit on Modal
,UserApp>Register,,,,:xpath,//input[@class='expiry form-control'],Card expire month
,UserApp>Register,,,,:xpath,"//label[contains(text(),'Phone Provider')]/../span",Phone Provider Drop Down
,UserApp>Register,,,,:xpath,"//li[contains(text(),'Sprint')]",Phone Provider Sprint
,UserApp>Register,,,,:xpath,"//button[contains(text(),'Finish Registration')]",Finish Registration
,UserApp>Login,,,,:xpath,//input[@name='username'],Username
,UserApp>Login,,,,:xpath,//input[@name='password'],Password
,UserApp>Login,,,,:xpath,//button[@class='button login'],Login Button
,UserApp>ImportantInformationModal,,,,:xpath,//*[@id='add_product_to_cart_modal']/div/div/div[3]/button[1],OK button
,UserApp>ImportantInformationModal,,,,:xpath,//*[@id='add_product_to_cart_modal']/div/div/div[3]/button[0],Do not show next time button
,UserApp,,,,:xpath,//div[@id='cart-link'],Cart
,UserApp>Cart,,,,:xpath,"//*[contains(text(),'Remove recurring product')]",Remove Recurring Product Modal
,UserApp>Cart,,,,:xpath,//*[@id='remove-recurring-modal']/div/div/div[3]/button[2],Remove All Future Deliveries button
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
