Menu Item,Path,ElementType,Base,Counter,ElementName,ElementName
,User Management>Customers>Create Customer Profile,,,,//input[@id='refer_friend_name'],Who refered you
,User Management>Customers>Create Customer Profile,,,,//input[@id='birthday'],Birthday
,User Management>Customers>Create Customer Profile,,,,//input[@id='phone'],Phone
,User Management>Customers>Create Customer Profile,,,,//input[@id='email'],Email
,User Management>Customers>Create Customer Profile,,,,//input[@id='email2'],Email2
,User Management>Customers>Create Customer Profile,,,,//input[@id='s_address'],Delivery Address
,User Management>Customers>Create Customer Profile,,,,//input[@id='s_city'],Delivery City
,User Management>Customers>Create Customer Profile,,,,//input[@id='s_zipcode'],Zipcode
,User Management>Customers>Create Customer Profile,,,,//input[@id='btn-enter-cc-details'],CreditCardDetailModal
,User Management>Customers>Create Customer Profile,,,,//input[@id='inputCCNumber'],Card Number on Modal
,User Management>Customers>Create Customer Profile,,,,//input[@id='inputCCExp'],Expiration date on Modal
,User Management>Customers>Create Customer Profile,,,,//input[@id='inputCVV2'],CVV2 on Modal
,User Management>Customers>Create Customer Profile,,,,"//button[contains(text(),'Submit')]","Submit on Modal"
,User Management>Customers>Create Customer Profile,,,,//input[@id='card_number'],Card Number
,User Management>Customers>Create Customer Profile,,,,//input[@id='card_name'],Name On Card
,User Management>Customers>Create Customer Profile,,,,//input[@class='expiry form-control'],Card expire month
,User Management>Customers>Create Customer Profile,,,,//input[@id='card_expire_year'],Card Expire year
,User Management>Customers>Create Customer Profile,,,,//input[@id='card_cvv2'],Card CCV
,User Management>Customers>Create Customer Profile,,,,//input[@id='passwd1'],Password
,User Management>Customers>Create Customer Profile,,,,//input[@id='passwd2'],Confirm Password
,User Management>Customers>Create Customer Profile,,,,"//label[contains(text(),'Phone Provider')]/../span/span/span/span[@class='select2-selection__arrow']",Phone Provider selector
,User Management>Customers>Create Customer Profile,,,,//input[@class='select2-search__field'],Phone Provider
,User Management>Customers>Create Customer Profile,,,,//input[@id=‘additional_values_1000000035’],Accept SMS
,User Management>Customers>Create Customer Profile,,,,"//td[contains(text(),'Store')]/../",Store
,User Management>Customers>Create Customer Profile,,,,"//input[@name='is_billing_and_delivery_same']/..",Billing Address is the same checkbox
,User Management>Customers>Create Customer Profile,,,,//input[@value=' Save '],Save
,User Management>Customers>Create Customer Profile,,,,"//*[contains(text(),'Profile has been successfully created')]","Profile sucessfully created"
,UserApp>Register,,,,//input[@id='s_address'],Address
,UserApp>Register,,,,//input[@id='s_city'],City
,UserApp>Register,,,,//input[@id='s_zip'],Zip/Postal Code
,UserApp>Register,,,,//input[@value='Continue'],Continue
,UserApp>Register,,,,//div[@class='modal-footer']/button[@id='continue-button'],Continue from delivery confirmation
,UserApp>Register,,,,//input[@name ='firstname'],FirstName
,UserApp>Register,,,,//input[@name ='lastname'],LastName
,UserApp>Register,,,,//input[@name ='email'],E-Mail Address
,UserApp>Register,,,,//input[@id ='email2'],Confirm Email
,UserApp>Register,,,,//input[@id ='phone'],Phone
,UserApp>Register,,,,//input[@name ='passwd1'],Password
,UserApp>Register,,,,"//input[@id='btn-enter-cc-details']","Display Credit Card Entry modal"
,UserApp>Register,,,,//input[@id='card_number'],Card Number
,UserApp>Register,,,,//input[@id='card_name'],Name On Card
,UserApp>Register,,,,//input[@id='card_cvv2'],Card CCV
,UserApp>Register,,,,//input[@name='billing-cc-number'],Card Number on Modal
,UserApp>Register,,,,//input[@id='inputCCExp'],Card expire month on Modal
,UserApp>Register,,,,//input[@id='inputCVV2'],Card CCV on Modal
,UserApp>Register,,,,"//button[contains(text(),'Submit')]",Submit on Modal
,UserApp>Register,,,,//input[@class='expiry form-control'],Card expire month
,UserApp>Register,,,,"//label[contains(text(),'Phone Provider')]/../span",Phone Provider Drop Down
,UserApp>Register,,,,"//li[contains(text(),'Sprint')]",Phone Provider Sprint
,UserApp>Register,,,,"//button[contains(text(),'Finish Registration')]",Finish Registration
,UserApp>Login,,,,"//input[@name='username']",Username
,UserApp>Login,,,,"//input[@name='password']",Password
,UserApp>Login,,,,"//button[@class='button login']",Login Button
,UserApp>ImportantInformationModal,,,,"//*[@id='add_product_to_cart_modal']/div/div/div[3]/button[1]",OK button
,UserApp>ImportantInformationModal,,,,"//*[@id='add_product_to_cart_modal']/div/div/div[3]/button[0]",Do not show next time button
,UserApp,,,,"//div[@id='cart-link']",Cart
,UserApp>Cart,,,,"//*[contains(text(),'Remove recurring product')]","Remove Recurring Product Modal"
,UserApp>Cart,,,,"//*[@id='remove-recurring-modal']/div/div/div[3]/button[2]","Remove All Future Deliveries button"





